tahun;lokasi;ihpr;delta_ihpr
2012;Jabodebek-Banten;100.00;
2013;Jabodebek-Banten;112.62; 12.62 
2014;Jabodebek-Banten;120.65; 7.13 
2015;Jabodebek-Banten;125.73; 4.21 
2016;Jabodebek-Banten;127.43; 1.35 
2017;Jabodebek-Banten;132.19; 3.74 
2018;Jabodebek-Banten;136.11; 2.97 
2019;Jabodebek-Banten;137.88; 1.30 
2020;Jabodebek-Banten;140.01; 1.55 
2021;Jabodebek-Banten;141.63; 1.15 
2022;Jabodebek-Banten;146.28; 1.88 
2012;Bandung;100.00;
2013;Bandung;107.02; 7.02 
2014;Bandung;113.61; 6.15 
2015;Bandung;124.93; 9.97 
2016;Bandung;132.97; 6.43 
2017;Bandung;138.01; 3.80 
2018;Bandung;146.75; 6.33 
2019;Bandung;150.21; 2.36 
2020;Bandung;152.63; 1.61 
2021;Bandung;155.33; 1.77 
2022;Bandung;159.67; 1.74
2012;Surabaya;100.00;
2013;Surabaya;118.85; 18.85 
2014;Surabaya;133.06; 11.95 
2015;Surabaya;144.08; 8.29 
2016;Surabaya;151.93; 5.45 
2017;Surabaya;163.71; 7.75 
2018;Surabaya;174.59; 6.64 
2019;Surabaya;178.84; 2.44 
2020;Surabaya;182.13; 1.84 
2021;Surabaya;183.34; 0.67 
2022;Surabaya;189.70; 1.87 
2012;Medan;100.00;
2013;Medan;116.32; 16.32 
2014;Medan;120.14; 3.29 
2015;Medan;125.72; 4.64 
2016;Medan;135.07; 7.44 
2017;Medan;135.77; 0.52 
2018;Medan;143.01; 5.33 
2019;Medan;148.40; 3.77 
2020;Medan;154.27; 3.96 
2021;Medan;161.24; 4.52 
2022;Medan;164.44; 2.20 
2012;Makassar;100.00;
2013;Makassar;114.99; 14.99 
2014;Makassar;140.03; 21.78 
2015;Makassar;156.76; 11.94 
2016;Makassar;164.09; 4.67 
2017;Makassar;165.01; 0.56 
2018;Makassar;173.02; 4.85 
2019;Makassar;175.63; 1.51 
2020;Makassar;180.47; 2.76 
2021;Makassar;181.75; 0.71 
2022;Makassar;185.51; 1.55 
2012;Gabungan 18 Kota;100.00;
2013;Gabungan 18 Kota;112.11; 12.11 
2014;Gabungan 18 Kota;120.41; 7.40 
2015;Gabungan 18 Kota;127.57; 5.95 
2016;Gabungan 18 Kota;131.90; 3.39 
2017;Gabungan 18 Kota;136.08; 3.17 
2018;Gabungan 18 Kota;140.53; 3.27 
2019;Gabungan 18 Kota;142.93; 1.71 
2020;Gabungan 18 Kota;145.20; 1.59 
2021;Gabungan 18 Kota;147.36; 1.49 
2022;Gabungan 18 Kota;151.65; 1.72 
