Judul,Kota,Wilayah,Luas_Bangunan,Luas_Lahan,Harga,Total_Luas,Kategori
"Townhouse 2 lntai.,",Jakarta,Lubang Buaya,80,72,850000000,152,Kecil
"Siap Huni,Lokasi dekat Tol Brigif Jagakarsa...",Jakarta,Jagakarsa,130,88,1750000000,218,Sedang
Rumah Minimalis 2 Lantai Siap Huni Dekat Cilandak Harga Nego Bisa KPR,Jakarta,Cilandak,120,78,1500000000,198,Sedang
Siap Indent di Lokasi Premium Jagakarsa/ THE COACH HOUSE,Jakarta,Tanjung Barat,130,63,1960000000,193,Sedang
rumah Classic 3 lantai mewah murah,Jakarta,Jagakarsa,230,80,2600000000,310,Besar
DIJUAL 2 UNIT RUMAH BARU SIAP HUNI DURI MAS,Jakarta,Duri Kepa,125,58,1950000000,183,Sedang
rumah Classic modern termurah jagakarsa,Jakarta,Jagakarsa,130,95,1700000000,225,Sedang
Runah Murah minimalis dan Cantik dengan Harga terjangkau di Jakarta Pu,Jakarta,Johar Baru,30,16,370000000,46,Kecil
rumah sia huni 3 lantai kebagusan,Jakarta,Kebagusan,250,108,3600000000,358,Besar
Rumah Menteng 2 lantai,Jakarta,Menteng Dalam,609,830,78000000000,1439,Besar
Jual Cepat Rumah siap huni,Jakarta,Duren Sawit,350,250,4900000000,600,Besar
RUMAH MURAH INDENT DI JAKARTA PUSAT,Jakarta,Cempaka Putih,37,20,460000000,57,Kecil
Rumah 3 Lantai Di Cempaka Putih Tengah Dgn Konsep Smart Home Jak Pus,Jakarta,Cempaka Putih,85,30,1240000000,115,Kecil
"Jual Rumah Jakarta - Rumah Lokasi PEGANGSAAN, MENTENG, JAKARTA PUSAT - NEGO !!",Jakarta,Pegangsaan,145,95,5200000000,240,Sedang
Dijual Rumah Baru Pondok Indah,Jakarta,,462,269,15000000000,731,Besar
"Rumah Baru Siap Huni Pesangrahan Jaksel, NEGO SAJA",Jakarta,Pesanggrahan,180,141,2500000000,321,Besar
Dijual Cepat Rumah Kelapa Gading Kelapa Cengkir Timur,Jakarta,Kelapa Gading,162,162,3650000000,324,Besar
